UTM_USO,UTM_ESTE,UTM_NORTE,COMUNA,Punto
19H,441.364.669,7.536.604.457,María Elena,1
19H,441.143.299,7.536.713.112,María Elena,2
19H,441057.95,7.537.022.837,María Elena,3
19H,440.977.764,7.537.313.823,María Elena,4
19H,440.869.448,7.537.706.889,María Elena,5
19H,440.759.337,7.538.106.474,María Elena,6
19H,440.651.168,7538499.01,María Elena,7
19H,440541.8,7.538.895.897,María Elena,8
19H,440.422.318,7.539.329.488,María Elena,9
19H,440.313.741,7.539.723.511,María Elena,10
19H,440.206.971,7.540.110.972,María Elena,11
19H,440.096.474,7.540.511.961,María Elena,12
19H,440.119.405,7.540.918.162,María Elena,13
19H,440.142.624,7.541.329.455,María Elena,14
19H,440.165.431,7.541.733.453,María Elena,15
19H,440.190.389,7.542.175.545,María Elena,16
19H,440.212.981,7542575.71,María Elena,17
19H,440236.24,7542987.7,María Elena,18
19H,440259.2,7543396.12,María Elena,19
